Datum;Zeit;Time;Lu_Gecko - microwave(02Alex) Wirkenergie(kWh)
19.03.2024;06:24:36;2024-03-19T06:24:36+01:00;5.658
19.03.2024;06:19:36;2024-03-19T06:19:36+01:00;5.658
19.03.2024;06:14:36;2024-03-19T06:14:36+01:00;5.658
19.03.2024;06:09:36;2024-03-19T06:09:36+01:00;5.658
19.03.2024;06:04:36;2024-03-19T06:04:36+01:00;5.658
19.03.2024;05:59:36;2024-03-19T05:59:36+01:00;5.658
19.03.2024;05:54:36;2024-03-19T05:54:36+01:00;5.658
19.03.2024;05:49:36;2024-03-19T05:49:36+01:00;5.658
19.03.2024;05:44:36;2024-03-19T05:44:36+01:00;5.658
19.03.2024;05:39:36;2024-03-19T05:39:36+01:00;5.658
19.03.2024;05:34:36;2024-03-19T05:34:36+01:00;5.658
